TEXT__WORD_HIGHLIGHTED_seconds,TEXT__WORD_HIGHLIGHTED_amount,TEXT__SENTENCE_CLICK_seconds,TEXT__SENTENCE_CLICK_amount,TEXT__SENTENCE_READ_seconds,TEXT__SENTENCE_READ_amount,REVISION__CLICKED_seconds,REVISION__CLICKED_amount,REVISION__NOT_CLICKED_seconds,REVISION__NOT_CLICKED_amount,VIDEO__WAS_SEEN_seconds,VIDEO__WAS_SEEN_amount,VIDEO__TRANSLATION_WAS_REVEALED_seconds,VIDEO__TRANSLATION_WAS_REVEALED_amount,BOOK_DRILL_CLICK_seconds,BOOK_DRILL_CLICK_amount,BOOK_DRILL_SCROLL_seconds,BOOK_DRILL_SCROLL_amount,FIRST_EXPOSURE_seconds,delta,ALL_longest_leading_recalls_seconds,ALL_leading_recalls_amount,ALL_leading_recalls_seconds,ALL_leading_failures_amount,ALL_leading_failures_seconds,ALL_amount,score,score_prev
62208000,0,5644,38,0,14,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,19545,39777,5020,11,5020,0,0,1378,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,4452,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,196,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,10235,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,1393,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,3,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,772,39938,772,2,772,0,0,6,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,1466,0,0,0,0,0,1,1.0,1.0
62208000,0,0,12,7856,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,9256,40414,0,0,0,0,0,91,1.0,1.0
62208000,0,6979,6,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,20953,38369,0,0,0,0,0,28,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,40002,0,0,0,0,0,1,1.0,1.0
